season,yr,mnth,hr,holiday,weekday,workingday,temp,hum,windspeed,casual,cnt
1,0,1,1,0,2,1,0.16,0.59,0.1045,0,2
1,0,1,2,0,2,1,0.14,0.63,0.1343,0,1
1,0,1,4,0,2,1,0.14,0.63,0.0896,0,2
1,0,1,5,0,2,1,0.12,0.68,0.1045,0,4
1,0,1,6,0,2,1,0.12,0.74,0.1045,0,36
1,0,1,7,0,2,1,0.12,0.74,0.1343,2,94
1,0,1,8,0,2,1,0.14,0.69,0.1642,2,179
1,0,1,9,0,2,1,0.16,0.64,0.2239,2,100
1,0,1,10,0,2,1,0.16,0.69,0.3284,5,42
1,0,1,11,0,2,1,0.22,0.51,0.2985,7,57
1,0,1,12,0,2,1,0.22,0.51,0.1642,12,78
1,0,1,13,0,2,1,0.24,0.56,0.194,18,97
1,0,1,14,0,2,1,0.26,0.52,0.2239,9,63
1,0,1,15,0,2,1,0.28,0.52,0.2537,17,65
1,0,1,16,0,2,1,0.3,0.49,0.2537,15,83
1,0,1,17,0,2,1,0.28,0.48,0.2239,10,212
1,0,1,18,0,2,1,0.26,0.48,0.194,3,182
1,0,1,19,0,2,1,0.24,0.48,0.1045,2,112
1,0,1,20,0,2,1,0.24,0.48,0.1045,1,54
1,0,1,21,0,2,1,0.22,0.64,0,0,48
1,0,1,22,0,2,1,0.22,0.64,0.0896,1,35
1,0,1,23,0,2,1,0.2,0.69,0.0896,2,11
1,0,1,0,0,3,1,0.2,0.64,0,0,6
1,0,1,1,0,3,1,0.16,0.74,0.0896,0,6
1,0,1,2,0,3,1,0.16,0.74,0.0896,0,2
1,0,1,4,0,3,1,0.24,0.48,0.2239,0,2
1,0,1,5,0,3,1,0.22,0.47,0.1642,0,3
1,0,1,6,0,3,1,0.2,0.47,0.2239,0,33
1,0,1,7,0,3,1,0.18,0.43,0.194,1,88
1,0,1,8,0,3,1,0.2,0.4,0.2985,3,195
1,0,1,9,0,3,1,0.22,0.37,0.3284,6,115
1,0,1,10,0,3,1,0.22,0.37,0.3284,4,57
1,0,1,11,0,3,1,0.26,0.33,0.3284,12,46
1,0,1,12,0,3,1,0.26,0.33,0.3284,5,79
1,0,1,13,0,3,1,0.28,0.3,0.2985,6,71
1,0,1,14,0,3,1,0.3,0.28,0.194,10,62
1,0,1,15,0,3,1,0.3,0.28,0.194,7,62
1,0,1,16,0,3,1,0.3,0.28,0.0896,4,89
1,0,1,17,0,3,1,0.24,0.38,0.194,4,190
1,0,1,18,0,3,1,0.24,0.38,0.1343,3,169
1,0,1,19,0,3,1,0.24,0.38,0.1045,5,132
1,0,1,20,0,3,1,0.22,0.47,0.1642,7,89
1,0,1,21,0,3,1,0.2,0.51,0.194,3,43
1,0,1,22,0,3,1,0.18,0.55,0.1343,1,42
1,0,1,23,0,3,1,0.2,0.47,0,1,19
1,0,1,0,0,4,1,0.18,0.55,0,0,11
1,0,1,1,0,4,1,0.16,0.64,0,0,4
1,0,1,2,0,4,1,0.16,0.64,0,0,2
1,0,1,4,0,4,1,0.16,0.64,0.0896,0,1
1,0,1,5,0,4,1,0.14,0.69,0.0896,0,4
1,0,1,6,0,4,1,0.14,0.63,0.1045,0,36
1,0,1,7,0,4,1,0.16,0.59,0,0,95
1,0,1,8,0,4,1,0.16,0.59,0,3,219
1,0,1,9,0,4,1,0.18,0.51,0,6,122
1,0,1,10,0,4,1,0.2,0.47,0,3,45
1,0,1,11,0,4,1,0.22,0.44,0.0896,2,59
1,0,1,12,0,4,1,0.26,0.35,0,6,84
1,0,1,13,0,4,1,0.26,0.35,0.1045,12,67
1,0,1,14,0,4,1,0.28,0.36,0.1642,11,70
1,0,1,15,0,4,1,0.28,0.36,0,8,62
1,0,1,16,0,4,1,0.26,0.38,0.1642,12,86
1,0,1,17,0,4,1,0.22,0.51,0.1642,9,172
1,0,1,18,0,4,1,0.22,0.51,0.1343,5,163
1,0,1,19,0,4,1,0.22,0.55,0.0896,3,112
1,0,1,20,0,4,1,0.2,0.51,0.1642,3,69
1,0,1,21,0,4,1,0.22,0.55,0.2239,0,48
1,0,1,22,0,4,1,0.22,0.51,0.2836,1,52
1,0,1,23,0,4,1,0.2,0.59,0.194,4,23
1,0,1,0,0,5,1,0.2,0.64,0.194,4,17
1,0,1,1,0,5,1,0.2,0.69,0.2239,2,7
1,0,1,2,0,5,1,0.2,0.69,0.2239,0,1
1,0,1,4,0,5,1,0.2,0.69,0.1343,0,1
1,0,1,5,0,5,1,0.22,0.55,0,0,5
1,0,1,6,0,5,1,0.2,0.69,0,8,34
1,0,1,7,0,5,1,0.2,0.69,0.1343,8,84
1,0,1,8,0,5,1,0.2,0.51,0.2537,20,210
1,0,1,9,0,5,1,0.2,0.47,0.2985,9,134
1,0,1,10,0,5,1,0.22,0.37,0.3284,16,63
1,0,1,11,0,5,1,0.2,0.4,0.2239,19,67
1,0,1,12,0,5,1,0.2,0.37,0.2537,9,59
1,0,1,13,0,5,1,0.2,0.37,0.2836,9,73
1,0,1,14,0,5,1,0.2,0.4,0.2537,7,50
1,0,1,15,0,5,1,0.2,0.37,0.1642,9,72
1,0,1,16,0,5,1,0.2,0.37,0.1642,5,87
1,0,1,17,0,5,1,0.2,0.37,0,9,187
1,0,1,18,0,5,1,0.2,0.4,0.0896,7,123
1,0,1,19,0,5,1,0.16,0.55,0.0896,3,95
1,0,1,20,0,5,1,0.18,0.47,0.1045,1,51
1,0,1,21,0,5,1,0.18,0.47,0.1343,0,39
1,0,1,22,0,5,1,0.18,0.43,0.1642,2,36
1,0,1,23,0,5,1,0.18,0.51,0.1642,1,15
1,0,1,0,0,6,0,0.18,0.51,0.1642,1,25
1,0,1,1,0,6,0,0.18,0.55,0.0896,1,16
1,0,1,2,0,6,0,0.18,0.55,0,3,16
1,0,1,3,0,6,0,0.18,0.55,0.1642,0,7
1,0,1,4,0,6,0,0.18,0.55,0.1642,0,1
1,0,1,5,0,6,0,0.16,0.74,0.1642,0,5
1,0,1,6,0,6,0,0.16,0.74,0.1642,0,2
1,0,1,7,0,6,0,0.16,0.74,0.1045,1,9
1,0,1,8,0,6,0,0.16,0.93,0.1045,0,15
1,0,1,9,0,6,0,0.16,0.93,0.1045,0,20
1,0,1,10,0,6,0,0.18,0.8,0.1642,5,61
1,0,1,11,0,6,0,0.2,0.69,0.3881,2,62
1,0,1,12,0,6,0,0.2,0.59,0.3582,8,98
1,0,1,13,0,6,0,0.2,0.44,0.3284,7,102
1,0,1,14,0,6,0,0.2,0.32,0.4925,12,95
1,0,1,15,0,6,0,0.2,0.32,0.4478,5,74
1,0,1,16,0,6,0,0.18,0.29,0.4478,8,76
1,0,1,17,0,6,0,0.16,0.37,0.5522,5,69
1,0,1,18,0,6,0,0.14,0.39,0.2985,3,55
1,0,1,19,0,6,0,0.14,0.36,0.2537,4,30
1,0,1,20,0,6,0,0.12,0.36,0.2537,0,28
1,0,1,21,0,6,0,0.12,0.39,0.3582,2,37
1,0,1,22,0,6,0,0.12,0.36,0.3881,1,34
1,0,1,23,0,6,0,0.1,0.39,0.4478,0,22
1,0,1,0,0,0,0,0.1,0.42,0.3881,1,25
1,0,1,1,0,0,0,0.1,0.42,0.4627,0,12
1,0,1,2,0,0,0,0.1,0.46,0.4627,0,11
1,0,1,3,0,0,0,0.1,0.46,0.4179,0,4
1,0,1,4,0,0,0,0.08,0.53,0.194,0,1
1,0,1,5,0,0,0,0.08,0.53,0.194,0,1
1,0,1,6,0,0,0,0.1,0.49,0.2836,0,1
1,0,1,7,0,0,0,0.08,0.53,0.194,1,6
1,0,1,8,0,0,0,0.1,0.49,0.2836,0,10
1,0,1,9,0,0,0,0.12,0.46,0.5224,0,19
1,0,1,10,0,0,0,0.14,0.43,0.3881,0,49
1,0,1,11,0,0,0,0.16,0.4,0.5224,2,49
1,0,1,12,0,0,0,0.18,0.37,0.4478,4,83
1,0,1,13,0,0,0,0.2,0.34,0.4478,6,75
1,0,1,14,0,0,0,0.22,0.32,0.4627,8,72
1,0,1,15,0,0,0,0.22,0.35,0.3582,5,82
1,0,1,16,0,0,0,0.2,0.34,0.4478,13,92
1,0,1,17,0,0,0,0.18,0.37,0.3881,3,62
1,0,1,18,0,0,0,0.16,0.4,0.3284,4,48
1,0,1,19,0,0,0,0.16,0.43,0.3284,1,41
1,0,1,20,0,0,0,0.14,0.46,0.2537,0,38
1,0,1,21,0,0,0,0.14,0.46,0.4179,1,20
1,0,1,22,0,0,0,0.14,0.46,0.2985,5,15
1,0,1,23,0,0,0,0.12,0.5,0.194,0,6
1,0,1,0,0,1,1,0.12,0.5,0.2836,2,5
1,0,1,1,0,1,1,0.12,0.5,0.2836,1,1
1,0,1,2,0,1,1,0.12,0.5,0.2239,0,3
1,0,1,3,0,1,1,0.12,0.5,0.2239,0,1
1,0,1,4,0,1,1,0.1,0.54,0.1343,1,3
1,0,1,5,0,1,1,0.1,0.54,0.2537,0,3
1,0,1,6,0,1,1,0.12,0.5,0.2836,0,31
1,0,1,7,0,1,1,0.12,0.5,0.2239,2,77
1,0,1,8,0,1,1,0.12,0.5,0.2836,4,188
1,0,1,9,0,1,1,0.14,0.5,0.2537,2,94
1,0,1,10,0,1,1,0.14,0.5,0.2985,0,31
1,0,1,11,0,1,1,0.16,0.47,0.2836,2,30
1,0,1,12,0,1,1,0.2,0.4,0.2836,5,52
1,0,1,13,0,1,1,0.2,0.4,0.2836,4,54
1,0,1,14,0,1,1,0.2,0.4,0.2239,0,47
1,0,1,15,0,1,1,0.2,0.4,0.2239,2,45
1,0,1,16,0,1,1,0.2,0.4,0.1343,4,74
1,0,1,17,0,1,1,0.2,0.4,0.1045,4,178
1,0,1,18,0,1,1,0.2,0.4,0.2239,1,155
1,0,1,19,0,1,1,0.16,0.47,0.1642,3,95
1,0,1,20,0,1,1,0.16,0.5,0.1642,1,74
1,0,1,21,0,1,1,0.14,0.59,0.194,1,38
1,0,1,22,0,1,1,0.14,0.59,0.1642,2,24
1,0,1,23,0,1,1,0.14,0.59,0.1642,0,18
1,0,1,0,0,2,1,0.14,0.59,0.1045,2,12
1,0,1,1,0,2,1,0.14,0.59,0.1642,0,3
1,0,1,2,0,2,1,0.16,0.55,0.194,0,3
1,0,1,5,0,2,1,0.16,0.55,0.1343,0,6
1,0,1,6,0,2,1,0.16,0.55,0.1343,0,27
1,0,1,7,0,2,1,0.16,0.55,0,2,99
1,0,1,8,0,2,1,0.18,0.51,0.0896,3,217
1,0,1,9,0,2,1,0.18,0.51,0.1642,3,130
1,0,1,10,0,2,1,0.2,0.51,0.1642,3,54
1,0,1,11,0,2,1,0.2,0.47,0.1343,4,35
1,0,1,12,0,2,1,0.2,0.51,0.1045,2,57
1,0,1,13,0,2,1,0.2,0.59,0.0896,6,52
1,0,1,14,0,2,1,0.2,0.59,0.0896,3,63
1,0,1,15,0,2,1,0.16,0.8,0.0896,2,47
1,0,1,16,0,2,1,0.16,0.86,0.2239,4,76
1,0,1,17,0,2,1,0.16,0.86,0.2239,6,136
1,0,1,18,0,2,1,0.16,0.93,0.1045,1,95
1,0,1,19,0,2,1,0.16,0.93,0,0,51
1,0,1,20,0,2,1,0.16,0.93,0.194,0,32
1,0,1,21,0,2,1,0.16,0.86,0.0896,0,20
1,0,1,22,0,2,1,0.16,0.93,0.1045,1,29
1,0,1,23,0,2,1,0.16,0.93,0.0896,1,19
1,0,1,0,0,3,1,0.16,0.86,0.0896,0,7
1,0,1,1,0,3,1,0.16,0.86,0.1045,0,6
1,0,1,2,0,3,1,0.14,0.86,0.1343,0,1
1,0,1,5,0,3,1,0.14,0.86,0.1642,0,5
1,0,1,6,0,3,1,0.12,0.93,0.1343,0,16
1,0,1,7,0,3,1,0.14,0.69,0.1343,0,54
1,0,1,8,0,3,1,0.16,0.59,0.1642,3,128
1,0,1,9,0,3,1,0.16,0.59,0.3284,3,81
1,0,1,10,0,3,1,0.18,0.55,0.2239,0,39
1,0,1,11,0,3,1,0.2,0.51,0.3881,3,35
1,0,1,12,0,3,1,0.2,0.47,0.5821,3,55
1,0,1,13,0,3,1,0.22,0.44,0.3582,0,49
1,0,1,14,0,3,1,0.2,0.47,0.3284,0,44
1,0,1,15,0,3,1,0.2,0.47,0.4179,1,49
1,0,1,16,0,3,1,0.22,0.44,0.3284,5,68
1,0,1,17,0,3,1,0.2,0.47,0.3582,0,139
1,0,1,18,0,3,1,0.2,0.47,0.5224,2,137
1,0,1,19,0,3,1,0.18,0.47,0.4179,1,83
1,0,1,20,0,3,1,0.16,0.5,0.3284,2,56
1,0,1,21,0,3,1,0.16,0.55,0.3284,0,57
1,0,1,22,0,3,1,0.16,0.55,0.4478,1,33
1,0,1,23,0,3,1,0.14,0.59,0.4179,1,20
1,0,1,0,0,4,1,0.14,0.59,0.2836,1,7
1,0,1,1,0,4,1,0.14,0.5,0.2836,0,2
1,0,1,2,0,4,1,0.14,0.5,0.3582,0,2
1,0,1,3,0,4,1,0.14,0.5,0.3284,0,3
1,0,1,4,0,4,1,0.14,0.5,0.2537,0,4
1,0,1,5,0,4,1,0.14,0.5,0.2985,0,3
1,0,1,6,0,4,1,0.12,0.54,0.1343,0,28
1,0,1,7,0,4,1,0.12,0.54,0.1343,0,72
1,0,1,8,0,4,1,0.14,0.5,0.194,5,202
1,0,1,9,0,4,1,0.14,0.5,0.3284,2,139
1,0,1,10,0,4,1,0.16,0.5,0.3582,2,38
1,0,1,11,0,4,1,0.2,0.44,0.4478,4,37
1,0,1,12,0,4,1,0.2,0.44,0.4179,3,52
1,0,1,13,0,4,1,0.22,0.41,0.4478,2,83
1,0,1,14,0,4,1,0.22,0.41,0.3881,3,42
1,0,1,15,0,4,1,0.24,0.38,0.2985,5,60
1,0,1,16,0,4,1,0.24,0.38,0.3582,2,78
1,0,1,17,0,4,1,0.2,0.4,0.2836,4,162
1,0,1,18,0,4,1,0.2,0.4,0.3284,3,144
1,0,1,19,0,4,1,0.16,0.47,0.2537,1,99
1,0,1,20,0,4,1,0.16,0.47,0.2239,0,64
1,0,1,21,0,4,1,0.14,0.46,0.2985,0,40
1,0,1,22,0,4,1,0.14,0.46,0.3284,0,30
1,0,1,23,0,4,1,0.12,0.5,0.194,1,15
1,0,1,0,0,5,1,0.12,0.5,0.194,0,14
1,0,1,1,0,5,1,0.1,0.54,0.1642,0,5
1,0,1,2,0,5,1,0.1,0.54,0.1343,0,1
1,0,1,3,0,5,1,0.1,0.54,0.1045,0,1
1,0,1,5,0,5,1,0.1,0.54,0.0896,0,8
1,0,1,6,0,5,1,0.1,0.54,0,0,17
1,0,1,7,0,5,1,0.1,0.74,0.1642,0,70
1,0,1,8,0,5,1,0.12,0.68,0,2,158
1,0,1,9,0,5,1,0.14,0.69,0.1343,0,117
1,0,1,10,0,5,1,0.18,0.55,0.194,4,44
1,0,1,11,0,5,1,0.18,0.51,0.2836,6,53
1,0,1,12,0,5,1,0.2,0.44,0.2537,2,61
1,0,1,13,0,5,1,0.22,0.37,0.3881,4,77
1,0,1,14,0,5,1,0.22,0.41,0.2836,5,64
1,0,1,15,0,5,1,0.24,0.38,0.1642,9,68
1,0,1,16,0,5,1,0.22,0.41,0.1045,3,90
1,0,1,17,0,5,1,0.22,0.41,0.1642,4,159
1,0,1,18,0,5,1,0.2,0.47,0,5,139
1,0,1,19,0,5,1,0.16,0.59,0.0896,3,92
1,0,1,20,0,5,1,0.18,0.59,0,0,68
1,0,1,21,0,5,1,0.16,0.69,0,4,52
1,0,1,22,0,5,1,0.16,0.69,0,2,36
1,0,1,23,0,5,1,0.18,0.55,0,1,27
1,0,1,0,0,6,0,0.18,0.55,0,3,28
1,0,1,1,0,6,0,0.16,0.59,0.0896,2,20
1,0,1,2,0,6,0,0.16,0.59,0.0896,0,12
1,0,1,3,0,6,0,0.16,0.59,0,1,8
1,0,1,4,0,6,0,0.16,0.59,0,0,5
1,0,1,5,0,6,0,0.16,0.59,0,0,1
1,0,1,6,0,6,0,0.14,0.63,0.1045,1,3
1,0,1,7,0,6,0,0.14,0.63,0,1,10
1,0,1,8,0,6,0,0.14,0.63,0.1343,1,23
1,0,1,9,0,6,0,0.16,0.64,0.1343,2,33
1,0,1,10,0,6,0,0.18,0.59,0.1642,2,59
1,0,1,11,0,6,0,0.2,0.55,0.2239,18,72
1,0,1,12,0,6,0,0.24,0.48,0.2239,15,89
1,0,1,13,0,6,0,0.28,0.38,0.2985,21,101
1,0,1,14,0,6,0,0.3,0.39,0.2836,26,118
1,0,1,15,0,6,0,0.32,0.36,0.194,21,129
1,0,1,16,0,6,0,0.34,0.34,0.194,33,128
1,0,1,17,0,6,0,0.32,0.36,0.2836,29,83
1,0,1,18,0,6,0,0.3,0.45,0.2537,15,84
1,0,1,19,0,6,0,0.32,0.39,0.2537,14,74
1,0,1,20,0,6,0,0.32,0.39,0.2537,6,41
1,0,1,21,0,6,0,0.32,0.39,0.2239,6,57
1,0,1,22,0,6,0,0.3,0.42,0.1045,0,26
1,0,1,23,0,6,0,0.3,0.45,0.2836,5,44
1,0,1,0,0,0,0,0.26,0.56,0,6,39
1,0,1,1,0,0,0,0.26,0.56,0.1343,4,23
1,0,1,2,0,0,0,0.26,0.56,0.0896,3,16
1,0,1,3,0,0,0,0.22,0.69,0,9,15
1,0,1,4,0,0,0,0.26,0.56,0.1642,0,1
1,0,1,5,0,0,0,0.26,0.56,0.1642,1,2
1,0,1,6,0,0,0,0.26,0.56,0.1642,0,1
1,0,1,7,0,0,0,0.24,0.56,0.2985,0,3
1,0,1,8,0,0,0,0.22,0.55,0.2836,0,18
1,0,1,9,0,0,0,0.22,0.51,0.2537,3,32
1,0,1,10,0,0,0,0.22,0.51,0.2836,8,79
1,0,1,11,0,0,0,0.24,0.44,0.2537,23,93
1,0,1,12,0,0,0,0.24,0.41,0.2836,29,104
1,0,1,13,0,0,0,0.26,0.35,0.2985,23,118
1,0,1,14,0,0,0,0.28,0.36,0.2537,22,91
1,0,1,15,0,0,0,0.26,0.38,0.2537,35,113
1,0,1,16,0,0,0,0.24,0.38,0.2239,22,99
1,0,1,17,0,0,0,0.22,0.37,0.2537,23,105
1,0,1,18,0,0,0,0.2,0.4,0.1642,11,67
1,0,1,19,0,0,0,0.18,0.47,0.1343,14,61
1,0,1,20,0,0,0,0.18,0.47,0.1642,7,57
1,0,1,21,0,0,0,0.18,0.51,0.1642,6,28
1,0,1,22,0,0,0,0.2,0.49,0.1343,2,21
1,0,1,23,0,0,0,0.2,0.4,0.1045,0,18
1,0,1,0,1,1,0,0.2,0.47,0.2239,1,17
1,0,1,1,1,1,0,0.2,0.44,0.194,1,16
1,0,1,2,1,1,0,0.18,0.43,0.2537,0,8
1,0,1,3,1,1,0,0.18,0.43,0.194,0,2
1,0,1,4,1,1,0,0.18,0.43,0.1343,1,3
1,0,1,5,1,1,0,0.18,0.43,0.1642,0,1
1,0,1,6,1,1,0,0.18,0.43,0.194,0,5
1,0,1,7,1,1,0,0.16,0.5,0.1343,4,13
1,0,1,8,1,1,0,0.16,0.47,0.2239,3,33
1,0,1,9,1,1,0,0.16,0.47,0.2239,8,47
1,0,1,10,1,1,0,0.16,0.5,0.2537,7,57
1,0,1,11,1,1,0,0.16,0.55,0.194,9,64
1,0,1,12,1,1,0,0.18,0.47,0.1343,10,80
1,0,1,13,1,1,0,0.18,0.47,0.1343,13,93
1,0,1,14,1,1,0,0.18,0.43,0.1045,12,86
1,0,1,15,1,1,0,0.2,0.47,0.1642,21,93
1,0,1,16,1,1,0,0.2,0.47,0.1642,6,82
1,0,1,17,1,1,0,0.2,0.51,0.194,4,71
1,0,1,18,1,1,0,0.18,0.55,0.2537,7,92
1,0,1,19,1,1,0,0.18,0.59,0.194,2,60
1,0,1,20,1,1,0,0.16,0.8,0.194,4,33
1,0,1,21,1,1,0,0.16,0.8,0.194,3,27
1,0,1,22,1,1,0,0.14,0.93,0.2537,0,13
1,0,1,23,1,1,0,0.16,0.86,0.2836,1,4
1,0,1,12,0,2,1,0.2,0.86,0.3284,0,3
1,0,1,13,0,2,1,0.2,0.86,0.2239,0,22
1,0,1,14,0,2,1,0.22,0.8,0.1642,2,28
1,0,1,15,0,2,1,0.22,0.87,0.1642,3,35
1,0,1,16,0,2,1,0.22,0.87,0.194,0,61
1,0,1,17,0,2,1,0.22,0.82,0.194,1,125
1,0,1,18,0,2,1,0.22,0.8,0.1642,1,133
1,0,1,19,0,2,1,0.22,0.8,0.1343,1,99
1,0,1,20,0,2,1,0.22,0.87,0,0,83
1,0,1,21,0,2,1,0.22,0.93,0.1045,0,41
1,0,1,22,0,2,1,0.22,0.93,0.0896,0,33
1,0,1,23,0,2,1,0.22,0.93,0,1,20
1,0,1,0,0,3,1,0.22,0.93,0,0,3
1,0,1,1,0,3,1,0.22,0.93,0.1343,1,7
1,0,1,2,0,3,1,0.22,0.93,0.1343,0,3
1,0,1,4,0,3,1,0.22,0.93,0.1343,1,2
1,0,1,5,0,3,1,0.22,0.93,0.0896,0,7
1,0,1,6,0,3,1,0.22,0.93,0.0896,0,32
1,0,1,7,0,3,1,0.24,0.92,0.1045,1,90
1,0,1,8,0,3,1,0.24,0.93,0.1045,1,197
1,0,1,9,0,3,1,0.24,0.93,0.1045,2,109
1,0,1,10,0,3,1,0.26,0.93,0.1343,1,47
1,0,1,11,0,3,1,0.28,0.87,0.0896,5,52
1,0,1,12,0,3,1,0.3,0.81,0.0896,5,70
1,0,1,13,0,3,1,0.4,0.62,0.2836,11,78
1,0,1,14,0,3,1,0.4,0.58,0.2537,7,75
1,0,1,15,0,3,1,0.4,0.54,0.2836,4,82
1,0,1,16,0,3,1,0.38,0.58,0.3881,10,104
1,0,1,17,0,3,1,0.36,0.57,0.3284,7,197
1,0,1,18,0,3,1,0.34,0.61,0.2836,5,161
1,0,1,19,0,3,1,0.32,0.57,0.4179,4,112
1,0,1,20,0,3,1,0.32,0.49,0.2985,2,76
1,0,1,21,0,3,1,0.32,0.49,0.4179,4,59
1,0,1,22,0,3,1,0.3,0.52,0.1642,6,59
1,0,1,23,0,3,1,0.3,0.52,0.4627,1,28
1,0,1,0,0,4,1,0.26,0.56,0.3881,5,13
1,0,1,1,0,4,1,0.26,0.56,0,2,5
1,0,1,2,0,4,1,0.26,0.56,0,0,2
1,0,1,3,0,4,1,0.26,0.56,0.1642,0,1
1,0,1,4,0,4,1,0.26,0.56,0.1642,0,1
1,0,1,5,0,4,1,0.24,0.6,0.2239,0,6
1,0,1,6,0,4,1,0.22,0.6,0.2239,0,35
1,0,1,7,0,4,1,0.22,0.55,0.2239,1,101
1,0,1,8,0,4,1,0.22,0.55,0.2836,2,249
1,0,1,9,0,4,1,0.24,0.52,0.2239,3,143
1,0,1,10,0,4,1,0.26,0.48,0.2985,1,57
1,0,1,11,0,4,1,0.28,0.45,0.1642,5,68
1,0,1,12,0,4,1,0.3,0.42,0,7,84
1,0,1,13,0,4,1,0.28,0.45,0.1045,12,98
1,0,1,14,0,4,1,0.3,0.45,0.1343,6,81
1,0,1,15,0,4,1,0.32,0.45,0.194,8,70
1,0,1,16,0,4,1,0.3,0.49,0.1343,8,91
1,0,1,17,0,4,1,0.3,0.49,0.1045,8,215
1,0,1,18,0,4,1,0.26,0.56,0.194,1,185
1,0,1,19,0,4,1,0.26,0.56,0.3284,6,152
1,0,1,20,0,4,1,0.26,0.6,0.2836,2,126
1,0,1,21,0,4,1,0.24,0.6,0.2537,3,57
1,0,1,22,0,4,1,0.24,0.65,0.2836,0,56
